Project Identifier,Institution Identifier,,,,,,,,,,Project Descriptors,,,Project Funding,,,,Project Type,,,,,,,,,,,,,,Project Members,,,,,,,,,,,,,,Sectoral Reach,,,,,,,,,,,,,,,Curricular Elements,,,,,,,,,,Project Materials,,,,,,,,
Project Code,Instition Code,Project Lead,Project Lead Title,Contact Person,Contact Email,Contact Number,School / University,Country,District,Region,Project Start,Project end,Project status,Total Budget,Internal Funding,External Funding Source,,Poverty Alleviation,Medical Mission,Alternative Learning,Skills Upgrade,Social Entrepreneurship,Home/Upgrade,Water,Electricity,School Improvement,Equipment,Infrastructure,Communication,Wellness,Others,Brothers / Aspirants,Researchers,Professionals,Teachers/Professors,Support Staff,School leaders,Kindergarten,Grade School ,High School,College,Post-Graduate,Alumni,Parents,Volunteers,Poor,Urban Poor,Out-of-School Youth,Indigenous People,Women,Children,Orphans,Senior Citizens,LGBTQIA+,Mentally Ill,Prisoners,Broken Homes,Unemployed,PWD,Others,Service Learning ,CBL,Reach-In,Reach-Out,Co-Curricular (basic ed),Class Project (tertiary),BS/AB thesis/capstone,MA/MS thesis,PhD thesis,Research Project,Description,Pictures,Videos,Website (optional),Collaborator 1,Collaborator 2,Collaborator 3,Collaborator 4,Collaborator 5
yr-region-school-seq-no,unique code,name,title,name (optional),email ,cell phone number,from table,unique,unique,unique,year,year,unique,amount in USD,"amount (1,000USD)",name,"amount (1,000USD)",0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,text,link,link,link,link,link,link,link,link
1,DLSU-Z,James Creuz,Professor,Henry Dustino,abc@delsalle.edu.pt,-2185,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,completed,15,10,UNICEF,100,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
2,DLSU-M,Johnny Cross,Professor,Rita Sage,"sayon@dlsumanila.com,org",-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,World Bank,100,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
3,DLSU-M,James Creuz,Principal,Henry Dustino,"sayon@dlsumanila.com,org",-2185,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,UNICEF,100,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
4,DLSU-M,James Creuz,Rector,Henry Dustino,abc@delsalle.edu.pt,-2185,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
5,DLSU-B,Juan de la Cruz,Rector,Rita Sage,jr.123@trxf.tlo.jk,-2176,La Salle Bacolod,France,Europe,Europe,2021,2023,completed,15,10,UNICEF,100,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
6,DLSU-M,Juan de la Cruz,Principal,Henry Dustino,abc@delsalle.edu.pt,-2185,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
7,DLSU-M,Juan de la Cruz,Rector,George Davis,abc@delsalle.edu.pt,-1964,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,UNICEF,100,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
8,DLSU-M,Juan de la Cruz,Rector,Rita Sage,abc@delsalle.edu.pt,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,UNICEF,100,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
9,DLSU-M,Juan de la Cruz,Principal,Rita Sage,"sayon@dlsumanila.com,org",-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,UNICEF,100,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
